,asOfDate,symbol,AccountsPayable,AccountsReceivable,NetIncome,StockholdersEquity,Inventory,GrossProfit,OperatingRevenue,TotalRevenue,OperatingCashFlow,TotalDebt,RetainedEarnings,DilutedEPS,DepreciationAndAmortizationInIncomeStatement,WorkingCapital,EBIT
3,2024-06-30,BAJFINANCE.NS,,,39119800000.0,,,,98642100000.0,98642100000.0,,,,63.11,1998100000.0,,
4,2024-09-30,BAJFINANCE.NS,28498200000.0,,39997300000.0,868028600000.0,,,103168500000.0,103168500000.0,,2580872800000.0,,64.5,2100400000.0,,
5,2024-12-31,BAJFINANCE.NS,,,42465400000.0,,,,109873600000.0,109873600000.0,,,,63.63,2191300000.0,,
0,2023-09-30,BAJAJFINSV.NS,73569800000.0,58450000000.0,,508726900000.0,,,,,,1967312000000.0,,12.0,,,
1,2023-12-31,BAJAJFINSV.NS,,,21576700000.0,,,,249784200000.0,249784200000.0,,,,13.4,2320900000.0,,102074800000.0
2,2024-03-31,BAJAJFINSV.NS,62774200000.0,59738600000.0,21185300000.0,603286200000.0,,,315804600000.0,315804600000.0,,2287817000000.0,362052700000.0,,2569100000.0,,106800500000.0
3,2024-06-30,BAJAJFINSV.NS,,,21377000000.0,,,,269167900000.0,269167900000.0,,,,13.3,2670100000.0,,115604200000.0
4,2024-09-30,BAJAJFINSV.NS,68089800000.0,55541700000.0,20869700000.0,683250200000.0,,,291150400000.0,291150400000.0,,2525439300000.0,,13.0,2753200000.0,,120116000000.0
5,2024-12-31,BAJAJFINSV.NS,,,22310000000.0,,,,268465400000.0,268465400000.0,,,,13.9,2885000000.0,,120877800000.0
0,2023-09-30,BEL.NS,28943600000.0,73359100000.0,,148161900000.0,67323400000.0,,,,,613800000.0,,1.08,,103626400000.0,
1,2023-12-31,BEL.NS,,,8595800000.0,,,20305800000.0,41621600000.0,41621600000.0,,,,1.17,1074600000.0,,11324600000.0
2,2024-03-31,BEL.NS,37063100000.0,73923800000.0,17971100000.0,163264700000.0,74468900000.0,39530600000.0,83672100000.0,83672100000.0,,625100000.0,114743500000.0,,1185400000.0,120362500000.0,23938400000.0
3,2024-06-30,BEL.NS,,,7910000000.0,,,19284700000.0,42435700000.0,42435700000.0,,,,1.08,1076800000.0,,10441000000.0
4,2024-09-30,BEL.NS,33178000000.0,82271800000.0,10924500000.0,176603600000.0,93620100000.0,24630500000.0,46049000000.0,46049000000.0,,607500000.0,,1.5,1111900000.0,130050600000.0,14465200000.0
5,2024-12-31,BEL.NS,,,13109500000.0,,,27893400000.0,57706900000.0,57706900000.0,,,,1.79,1109300000.0,,17449400000.0
0,2023-09-30,BPCL.NS,283688400000.0,57574600000.0,,709824700000.0,441134700000.0,,,,,563352100000.0,,19.36,,-102642600000.0,
1,2023-12-31,BPCL.NS,,,31814200000.0,,,117555700000.0,1154991400000.0,1154991400000.0,,,,7.47,,,52874400000.0
2,2024-03-31,BPCL.NS,283058100000.0,83420300000.0,47895700000.0,756351100000.0,428361300000.0,76036500000.0,1151379600000.0,1151379600000.0,,545990500000.0,252725100000.0,,,-151892700000.0,82271800000.0
3,2024-06-30,BPCL.NS,,,28415500000.0,,,107988000000.0,1130949200000.0,1130949200000.0,,,,6.65,,,47478500000.0
4,2024-09-30,BPCL.NS,258157100000.0,74835000000.0,22972300000.0,771080200000.0,443189300000.0,96748000000.0,1027852700000.0,1027852700000.0,,588803600000.0,,5.38,,-183628300000.0,40163700000.0
5,2024-12-31,BPCL.NS,,,38059400000.0,,,134280200000.0,1131658700000.0,1131658700000.0,,,,8.91,,,61942300000.0
